Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
wireless-noise-cancelling-headphones,Wireless Noise-Cancelling Headphones,<p>Premium ANC headphones with 30-hour battery and crystal-clear sound.</p>,FlexiTech,,Audio,"electronics, tech, audio, headphones, wireless, noise-cancelling, best-sellers, sale",true,Color,Matte Black,,,,,WIRELESS-001,200,shopify,deny,manual,79.99,99.99,true,true,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800&h=800&fit=crop,1,Wireless Noise-Cancelling Headphones,false,Wireless Noise-Cancelling Headphones,Premium ANC headphones with 30-hour battery and crystal-clear sound.,active
wireless-noise-cancelling-headphones,,,,,,,true,Color,White,,,,,WIRELESS-002,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
wireless-noise-cancelling-headphones,,,,,,,true,Color,Navy,,,,,WIRELESS-003,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
portable-bluetooth-speaker,Portable Bluetooth Speaker,<p>Waterproof speaker with 360° sound and 12-hour battery. Outdoor adventures ready.</p>,FlexiTech,,Audio,"electronics, tech, audio, speaker, bluetooth, portable, sale",true,Color,Black,,,,,PORTABLE-001,200,shopify,deny,manual,49.99,65.00,true,true,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800&h=800&fit=crop,1,Portable Bluetooth Speaker,false,Portable Bluetooth Speaker,Waterproof speaker with 360° sound and 12-hour battery. Outdoor adventures ready.,active
portable-bluetooth-speaker,,,,,,,true,Color,Teal,,,,,PORTABLE-002,200,shopify,deny,manual,49.99,65.00,true,true,,,,false,,,active
portable-bluetooth-speaker,,,,,,,true,Color,Red,,,,,PORTABLE-003,200,shopify,deny,manual,49.99,65.00,true,true,,,,false,,,active
smart-fitness-tracker,Smart Fitness Tracker,"<p>Fitness tracker with heart rate, sleep tracking, GPS, and 7-day battery.</p>",FlexiTech,,Gadgets,"electronics, tech, gadgets, fitness, wearable, smartwatch, sale",true,Color,Black,,,,,SMARTFI-001,200,shopify,deny,manual,59.99,75.00,true,true,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=800&h=800&fit=crop,1,Smart Fitness Tracker,false,Smart Fitness Tracker,"Fitness tracker with heart rate, sleep tracking, GPS, and 7-day battery.",active
smart-fitness-tracker,,,,,,,true,Color,Rose Gold,,,,,SMARTFI-002,200,shopify,deny,manual,59.99,75.00,true,true,,,,false,,,active
smart-fitness-tracker,,,,,,,true,Color,Blue,,,,,SMARTFI-003,200,shopify,deny,manual,59.99,75.00,true,true,,,,false,,,active
fast-wireless-charger-pad,Fast Wireless Charger Pad,<p>15W fast wireless charging pad for all Qi devices. Sleek minimalist design.</p>,FlexiTech,,Accessories,"electronics, tech, accessories, charger, wireless, sale",true,Color,White,,,,,FASTWIR-001,200,shopify,deny,manual,24.99,35.00,true,true,https://images.unsplash.com/photo-1586953208448-b95a79798f07?w=800&h=800&fit=crop,1,Fast Wireless Charger Pad,false,Fast Wireless Charger Pad,15W fast wireless charging pad for all Qi devices. Sleek minimalist design.,active
