Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
wooden-building-blocks-100pc,Wooden Building Blocks 100pc,<p>100 solid wood blocks in assorted shapes and colors. Classic open-ended play.</p>,FlexiPlay,,Building,"toys, games, building, wooden, educational, toddler, best-sellers, sale",true,Set,Classic,,,,,WOODENB-001,200,shopify,deny,manual,34.99,42.00,true,true,https://images.unsplash.com/photo-1587654780291-39c9404d7dd0?w=800&h=800&fit=crop,1,Wooden Building Blocks 100pc,false,Wooden Building Blocks 100pc,100 solid wood blocks in assorted shapes and colors. Classic open-ended play.,active
wooden-building-blocks-100pc,,,,,,,true,Set,Pastel,,,,,WOODENB-002,200,shopify,deny,manual,34.99,42.00,true,true,,,,false,,,active
stem-robot-building-kit,STEM Robot Building Kit,<p>Build and code your own robot. 200+ pieces with app-controlled motors.</p>,FlexiPlay,,STEM,"toys, games, stem, robotics, coding, 8-plus, new-arrivals",true,Level,Beginner,,,,,STEMROB-001,200,shopify,deny,manual,49.99,,true,true,https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=800&h=800&fit=crop,1,STEM Robot Building Kit,false,STEM Robot Building Kit,Build and code your own robot. 200+ pieces with app-controlled motors.,active
stem-robot-building-kit,,,,,,,true,Level,Advanced,,,,,STEMROB-002,200,shopify,deny,manual,49.99,,true,true,,,,false,,,active
art-supply-mega-set,Art Supply Mega Set,"<p>150-piece art set with crayons, markers, colored pencils, paints, and brushes.</p>",FlexiPlay,,Creative,"toys, games, creative, art, crafts, 5-plus, sale, best-sellers",true,Set,Standard,,,,,ARTSUPP-001,200,shopify,deny,manual,29.99,38.00,true,true,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=800&h=800&fit=crop,1,Art Supply Mega Set,false,Art Supply Mega Set,"150-piece art set with crayons, markers, colored pencils, paints, and brushes.",active
art-supply-mega-set,,,,,,,true,Set,Deluxe,,,,,ARTSUPP-002,200,shopify,deny,manual,29.99,38.00,true,true,,,,false,,,active
outdoor-explorer-kit,Outdoor Explorer Kit,"<p>Binoculars, compass, magnifying glass, bug catcher, and flashlight. Adventure awaits!</p>",FlexiPlay,,Outdoor,"toys, games, outdoor, explorer, nature, 6-plus",true,Color,Green,,,,,OUTDOOR-001,200,shopify,deny,manual,24.99,,true,true,https://images.unsplash.com/photo-1560541919-eb5c2da6a5a3?w=800&h=800&fit=crop,1,Outdoor Explorer Kit,false,Outdoor Explorer Kit,"Binoculars, compass, magnifying glass, bug catcher, and flashlight. Adventure awaits!",active
outdoor-explorer-kit,,,,,,,true,Color,Blue,,,,,OUTDOOR-002,200,shopify,deny,manual,24.99,,true,true,,,,false,,,active
family-board-game-collection,Family Board Game Collection,<p>Set of 3 classic board games. Perfect for family game night.</p>,FlexiPlay,,Board Games,"toys, games, board-games, family, strategy, 8-plus, sale",true,Set,Classic Trio,,,,,FAMILYB-001,200,shopify,deny,manual,39.99,48.00,true,true,https://images.unsplash.com/photo-1611996575749-79a3a250f948?w=800&h=800&fit=crop,1,Family Board Game Collection,false,Family Board Game Collection,Set of 3 classic board games. Perfect for family game night.,active
family-board-game-collection,,,,,,,true,Set,Strategy Trio,,,,,FAMILYB-002,200,shopify,deny,manual,39.99,48.00,true,true,,,,false,,,active
